date,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,natural gas price,Alternative Energy,Consumer Confidence,Energy Policy,Gas Demand,Gas Technology,Gas Trade,GDP Growth,Information Spread,LNG Supply,Market Sentiment,Natural Disasters,Seasonal Demand,X_0
2004/1/1,60.87,34.31,0.984,113.47,1131.13,1674398,2675834,2062805,373195,6051839,4.7,-6.5,527,4,40,63,73,50,53,95,68,55,33,0,0,30,0,6.14
2004/2/1,64.71,34.69,0.913,115.08,1144.94,1551457,2511097,1920843,345930,5452307,6.5,-4.8,419,4,37,64,100,61,51,99,74,66,38,0,0,38,0,5.37
2004/3/1,70.4,36.74,0.909,138.53,1126.21,1685174,2100921,2076537,348992,5341885,15.1,2,269,17,42,74,82,69,57,69,68,63,36,0,0,37,0,5.39
2004/4/1,77.38,36.75,0.922,149.63,1107.3,1629220,1745171,1995315,325105,5535291,18.5,4.4,169,16,34,78,81,70,69,94,51,77,46,0,0,34,0,5.71
2004/5/1,83.94,40.28,1.018,121.09,1120.68,1654209,1573043,2001333,326541,5910982,23.5,9.7,63,77,37,84,66,64,61,88,69,60,0,0,0,40,0,6.33
2004/6/1,94.07,38.03,0.994,137.23,1140.84,1619097,1483684,1965797,341934,6307379,26.9,13.2,22,116,30,58,56,59,69,82,62,51,27,0,100,27,0,6.27
2004/7/1,100.08,40.78,1.09,131.02,1101.72,1668490,1584933,2019157,374651,6681153,29.6,15.9,5,167,27,42,81,53,52,85,66,43,0,0,0,18,0,5.93
2004/8/1,94.68,44.9,1.167,140.37,1104.24,1654093,1577962,2016570,360244,7004573,28.1,14.3,12,141,39,56,65,60,56,78,60,54,0,0,0,25,0,5.41
2004/9/1,89.68,45.94,1.257,153.87,1114.58,1550376,1482150,1909243,344621,7310455,25.7,11.7,29,98,45,64,68,65,33,100,58,60,24,0,0,35,0,5.15
2004/10/1,89.61,53.28,1.485,119.86,1130.2,1620423,1557224,2009174,335533,7548214,19.1,6.9,141,39,52,72,79,73,58,73,51,56,31,0,0,39,0,6.35
2004/11/1,87.53,48.47,1.384,122.71,1173.82,1583720,1782796,1969226,368685,7479367,12.1,1.2,272,11,44,77,72,61,50,75,69,61,34,0,0,33,0,6.17
2004/12/1,82.08,43.15,1.275,109.9,1211.92,1626834,2327730,2023680,413128,6897200,7.5,-4.1,439,3,35,57,59,70,41,82,51,43,0,0,0,65,0,6.58
2005/1/1,80.46,46.84,1.316,100.89,1181.27,1632685,2561858,2035036,405016,6199291,6,-4.5,466,6,40,58,60,48,45,80,55,40,36,0,0,100,0,6.15
2005/2/1,74.33,48.15,1.343,108.98,1203.6,1498281,2242986,1870546,356495,5768939,9,-2.4,368,5,37,59,55,61,48,78,69,55,37,0,0,55,0,6.14
2005/3/1,74.09,54.19,1.556,90.41,1180.59,1687347,2205787,2080504,379650,5484332,12.2,-0.7,352,8,33,65,63,53,62,76,61,58,33,100,0,43,0,6.96
2005/4/1,75.07,52.98,1.523,87.03,1156.85,1614614,1724877,1979474,326147,5699060,18.4,4.1,172,14,35,66,56,76,70,83,49,61,23,0,0,43,0,7.16
2005/5/1,74.83,49.83,1.413,98.21,1191.5,1652081,1522613,2010625,333997,6075521,22.2,8.4,104,48,27,64,49,60,58,70,40,54,38,0,0,41,0,6.47
2005/6/1,77.11,56.35,1.612,81.12,1191.33,1611743,1534122,1972975,321710,6398738,27.5,13.8,17,137,32,55,50,49,63,69,60,47,19,0,41,26,0,7.18
2005/7/1,78.74,59,1.64,165.9,1234.18,1627427,1686609,1984143,386093,6653209,31.4,16.7,2,206,30,48,45,54,51,59,54,38,25,0,0,19,0,7.63
2005/8/1,73.44,64.99,1.804,116.23,1220.33,1619414,1695102,1988105,351805,6865103,30,15.8,4,194,55,60,41,100,47,71,61,41,23,0,0,25,100,9.53
2005/9/1,70.45,65.59,1.963,103.81,1228.81,1400941,1422495,1766603,345907,7136424,27.1,12.2,24,119,100,82,75,87,100,78,80,56,29,0,60,71,0,11.75
2005/10/1,64.34,62.26,1.891,87.06,1207.01,1475622,1428227,1871190,366305,7400321,19.7,6.3,132,32,98,75,73,91,75,75,60,55,25,0,0,71,0,13.42
2005/11/1,58.94,58.32,1.689,83.48,1249.48,1514407,1663400,1901758,359387,7398295,13.8,0.7,258,12,71,79,58,88,85,70,59,58,24,0,0,52,0,10.3
2005/12/1,61.27,59.41,1.707,95.35,1248.29,1592533,2326360,1995862,408522,6835374,6,-5.2,474,3,71,58,45,67,46,65,55,49,21,0,0,31,0,13.05
2006/1/1,66.48,65.49,1.751,94.51,1280.08,1611000,2165268,1975168,360316,6573119,9.8,-2.1,377,8,71,68,37,70,60,62,52,41,23,0,33,36,0,8.69
2006/2/1,74.36,61.63,1.639,95.86,1280.66,1450983,2144378,1794241,321045,6088735,8.2,-5,397,3,58,92,47,82,62,73,33,49,27,0,0,37,0,7.54
2006/3/1,80.27,62.69,1.777,92.8,1294.87,1631383,2126369,1994464,348293,5888675,12.1,-0.3,329,12,51,81,48,75,59,68,68,53,33,0,26,36,0,6.89
2006/4/1,83.21,69.44,1.978,89.02,1310.61,1570546,1681005,1908987,332248,6143320,20.3,5.6,150,32,44,89,47,71,64,68,70,56,19,0,0,32,0,7.16
2006/5/1,78.9,70.84,1.972,85.21,1270.09,1632139,1526297,1956520,350535,6511653,24.2,9.5,78,63,46,86,54,77,67,64,65,50,21,0,0,40,0,6.25
2006/6/1,79.51,70.95,1.925,102.57,1270.2,1614061,1550879,1938796,348095,6831985,28.9,14.1,14,132,34,58,39,63,48,61,51,38,15,0,38,26,0,6.21
2006/7/1,80.9,74.41,1.935,137.13,1276.66,1650313,1758733,1975235,370925,6993053,32,17.3,2,214,50,54,35,51,33,51,56,38,0,0,0,16,0,6.17
2006/8/1,81.35,73.04,1.984,147.08,1303.82,1656034,1751683,1989430,364972,7181966,30.1,15.9,6,186,56,57,39,54,41,55,54,35,0,0,0,19,0,7.14
2006/9/1,74.83,63.8,1.699,111.72,1335.85,1617442,1462070,1946109,333514,7538548,24.4,10.4,47,77,68,62,44,55,47,50,59,43,14,0,0,25,0,4.9
2006/10/1,72.58,58.89,1.648,113.14,1377.94,1675387,1644231,2025782,334016,7669209,18.2,4.7,169,27,63,65,41,67,50,48,47,47,19,0,29,30,0,5.85
2006/11/1,71.87,59.08,1.648,88.78,1400.63,1615322,1765375,1974331,339118,7622511,13.1,0.4,261,8,40,68,42,61,48,53,48,45,25,0,35,26,0,7.41
2006/12/1,78.34,61.96,1.684,90.61,1418.3,1685065,2122784,2055955,383205,7280906,8.4,-3.3,381,7,31,54,17,50,37,38,25,39,18,0,25,16,0,6.73
2007/1/1,78.94,54.51,1.528,97.92,1438.24,1652470,2475594,2042882,393140,6599227,5.2,-5.9,463,6,39,65,32,70,37,45,42,39,21,0,26,21,0,6.55
2007/2/1,79.93,59.28,1.693,96.17,1406.82,1513461,2566993,1878003,372874,5867298,6.1,-5.6,459,3,35,72,34,95,42,45,48,46,23,50,22,23,0,8
2007/3/1,82.15,60.44,1.742,87.34,1420.86,1703085,2128845,2094555,401779,5849891,15.6,1.8,272,18,28,69,36,80,45,50,42,47,21,0,24,23,0,7.11
2007/4/1,81.84,63.98,1.864,76.61,1482.37,1626673,1810079,1994942,386837,5968611,17.1,3.5,204,14,25,73,37,59,44,44,50,44,18,0,21,22,0,7.6
2007/5/1,80.78,63.46,1.884,92.6,1530.62,1722549,1559080,2066642,380213,6431710,24.1,9.6,64,67,26,70,35,52,44,48,52,45,17,0,20,27,0,7.64
2007/6/1,88.8,67.49,1.991,97.97,1503.35,1666465,1555226,2019862,381470,6813786,28.3,13.8,15,67,26,56,30,48,44,46,48,36,13,0,22,18,0,7.35
2007/7/1,97.31,74.12,2.072,112.35,1455.27,1703237,1659882,2053286,418576,7123259,30.8,16.6,3,173,27,48,28,44,40,45,51,32,10,0,30,13,0,6.22
2007/8/1,99.84,72.36,1.984,83.17,1473.99,1712771,1896137,2076235,426534,7250170,30.8,16.6,5,203,33,40,37,43,34,45,40,37,12,0,22,17,0,6.22
2007/9/1,100.51,79.92,2.179,94.49,1526.75,1674745,1590484,2040241,361383,7548786,26.3,11.9,27,106,33,50,38,43,39,47,39,45,13,0,16,23,0,6.08
2007/10/1,112.18,85.8,2.282,101.47,1549.38,1733373,1627791,2122193,347224,7803634,20.5,6.9,100,46,38,65,40,59,47,47,53,46,18,52,21,25,0,6.74
2007/11/1,134.12,94.77,2.586,89.8,1481.14,1712314,1834529,2098602,340607,7680213,13.3,0.1,287,10,35,69,45,65,47,46,49,49,20,0,32,24,0,7.1
2007/12/1,144.07,91.69,2.574,94.97,1468.36,1775203,2399154,2176213,396945,7113475,6.1,-4.7,439,7,28,58,33,41,38,42,44,40,14,0,22,16,0,7.11
2008/1/1,147.74,92.97,2.558,81.5,1378.55,1765447,2733970,2155041,389651,6288037,4.9,-6.8,488,4,32,66,36,53,42,49,44,47,15,0,42,19,0,7.99
2008/2/1,189.11,95.39,2.644,80.75,1330.63,1666095,2503421,2043801,349660,5686255,7.8,-4.8,399,7,32,70,43,54,40,49,55,51,15,34,31,23,0,8.54
2008/3/1,186.01,105.45,3.066,77.64,1322.7,1804065,2278151,2204088,366810,5486589,12.3,-1.3,334,11,33,72,51,51,50,45,57,45,14,0,37,20,0,9.41
2008/4/1,177.87,112.58,3.226,71.9,1385.59,1740229,1823867,2112605,322122,5658650,17.5,3,179,18,35,71,59,59,60,54,55,52,15,27,23,23,0,10.18
2008/5/1,192.47,125.4,3.615,72.57,1400.38,1797917,1576387,2153316,297154,6064975,22.3,8.1,103,53,46,82,50,56,67,59,79,41,24,0,20,36,0,11.27
2008/6/1,227.11,133.88,3.801,87.55,1280,1760998,1604249,2118791,286919,6407107,28.1,13.7,17,147,48,81,52,53,67,53,75,34,17,32,29,21,0,12.69
2008/7/1,268.89,133.37,3.759,89.74,1267.38,1852724,1708641,2205260,322810,6745390,30.6,16.2,4,186,59,72,47,50,56,52,68,35,12,28,29,13,0,11.09
2008/8/1,245.24,116.67,3.169,88.55,1282.83,1826392,1682924,2193566,328663,7093832,29.4,15.3,8,159,51,63,40,59,39,44,52,37,10,26,31,13,0,8.26
2008/9/1,234.96,104.11,2.911,88.54,1166.36,1559028,1460924,1919520,313868,7390883,25.5,11.3,30,96,54,80,45,61,51,46,62,48,20,26,30,24,30,7.67
2008/10/1,174.59,76.61,2.239,64.16,968.75,1754251,1635827,2153389,321328,7634355,19.3,5.1,155,28,58,100,84,69,55,48,62,55,21,0,34,28,18,6.74
2008/11/1,144.49,57.31,1.843,79.08,896.24,1757942,1868947,2149851,320254,7577456,12.7,0.5,293,7,45,85,58,63,50,42,49,51,14,0,27,20,26,6.68
2008/12/1,117.79,41.12,1.402,92.37,903.25,1826966,2399702,2227028,364862,7072657,5.9,-6,454,5,43,67,45,45,44,41,44,38,17,21,27,15,21,5.82
2009/1/1,120.31,41.71,1.465,85.37,825.88,1870465,2729715,2251938,356749,6370028,5.7,-6.8,522,4,47,65,51,50,43,42,51,41,15,0,29,18,34,5.24
2009/2/1,113.62,39.09,1.279,67.45,735.09,1704919,2332539,2074167,321522,6000888,9.2,-3.9,382,4,36,73,58,54,44,43,40,52,15,27,28,23,0,4.52
2009/3/1,92.06,47.94,1.277,72.64,797.87,1875053,2170709,2262488,325165,5907540,12.7,-0.6,317,11,39,70,52,55,43,42,52,50,18,29,36,23,23,3.96
2009/4/1,95.88,49.65,1.357,85.69,872.81,1783234,1741293,2147856,321848,6165074,17.4,3.6,183,17,33,60,54,53,41,40,46,48,15,23,33,23,24,3.5
2009/5/1,92.68,59.03,1.473,89.68,919.14,1843327,1504000,2190437,265793,6632164,23.4,9.5,74,67,40,57,63,43,37,36,56,41,14,27,24,23,19,3.83
2009/6/1,100.77,69.64,1.747,81.11,919.32,1791993,1527833,2140519,281970,7028031,27,13.6,24,126,50,47,46,40,40,37,100,34,15,0,34,17,0,3.8
2009/7/1,102.48,64.15,1.628,83.44,987.48,1827798,1657997,2170032,316715,7353504,29.6,15.5,8,162,46,36,46,36,37,35,98,33,11,21,31,13,22,3.38
2009/8/1,105.35,71.05,1.865,73.37,1020.62,1842284,1736462,2192597,336848,7626392,29.2,15.1,8,171,59,37,50,32,34,35,60,33,11,0,30,16,17,3.14
2009/9/1,99.88,69.41,1.728,92.84,1057.08,1733980,1574975,2089220,307026,7921596,26.1,12.1,34,95,79,42,48,38,47,41,52,39,14,24,28,23,27,2.99
2009/10/1,103.67,75.72,1.929,90.58,1036.19,1814913,1666520,2197157,273124,8091168,16.1,4.5,182,28,55,48,49,41,42,42,55,47,18,17,29,28,29,4.01
2009/11/1,110.01,77.99,1.981,82.1,1095.63,1757520,1776171,2144157,294918,8124989,14.2,1.2,246,10,42,48,46,47,40,42,48,48,17,18,24,23,0,3.66
2009/12/1,116.63,74.47,1.968,92.95,1115.1,1802449,2491864,2196325,349682,7406742,3.9,-6.5,482,4,42,42,36,34,36,36,44,36,15,17,20,18,20,5.35
2010/1/1,138.32,78.33,2.046,91.58,1073.87,1824143,2809788,2210163,384586,6579900,4.5,-5.9,511,2,37,41,36,33,45,41,46,43,15,19,26,32,18,5.83
2010/2/1,134.28,76.39,1.978,80.73,1104.49,1682869,2480950,2047815,324124,5960953,5.1,-5.3,446,1,30,53,44,41,46,41,45,50,16,20,28,27,17,5.32
2010/3/1,135.87,81.2,2.083,74.12,1169.43,1864519,2142925,2276546,318769,5929914,12.8,0,304,4,41,49,38,44,46,42,47,50,13,26,24,29,18,4.29
2010/4/1,144.4,84.29,2.204,88.76,1186.69,1813312,1691813,2190270,298464,6289473,19,4.6,150,21,36,49,35,46,37,40,50,48,20,16,28,29,30,4.03
2010/5/1,147.42,73.74,2.04,88.96,1089.41,1886476,1617274,2236507,297801,6698983,22.2,8.8,78,72,28,44,34,42,38,39,51,42,20,27,34,27,27,4.14
2010/6/1,146.48,75.34,2.032,96.45,1030.71,1802492,1649515,2138770,282260,7026700,28.1,14.7,17,159,29,38,36,37,36,38,43,37,14,20,31,21,27,4.8
2010/7/1,143.54,76.32,1.979,79.38,1101.6,1896082,1825828,2208753,328655,7253018,30.6,16.9,3,210,23,32,44,31,29,37,44,32,11,15,34,15,0,4.63
2010/8/1,137.29,76.6,2.016,80.99,1049.33,1917995,1878926,2235038,304901,7442861,30.5,16.3,5,197,27,28,34,31,28,33,38,38,12,18,27,18,13,4.32
